ects_kolegija,tezina_kolegija,postotak_ocjene,tezina_obveze,sigurnost_prije,tip_Ispit,tip_Kolokvij,tip_Labos,tip_Mini test,tip_Ostalo,tip_Projekt,tip_Seminar,tip_Usmeni ispit,tip_Zadaće,sati_ucenja,sati_ucenja_log,id_ispitanika
4.0,6.0,50.0,7.0,7.0,False,False,False,False,False,False,True,False,False,25.0,3.258096538021482,14
4.0,9.0,50.0,9.0,3.0,False,True,False,False,False,False,False,False,False,90.0,4.51085950651685,14
4.0,9.0,50.0,9.0,3.0,False,False,False,False,False,True,False,False,False,30.0,3.4339872044851463,14
4.0,4.0,50.0,5.0,6.0,True,False,False,False,False,False,False,False,False,15.0,2.772588722239781,14
4.0,4.0,,5.0,6.0,False,False,False,False,False,False,False,True,False,15.0,2.772588722239781,14
9.0,6.0,30.0,7.0,8.0,False,True,False,False,False,False,False,False,False,50.0,3.9318256327243257,15
9.0,6.0,15.0,6.0,8.0,False,False,False,False,False,False,True,False,False,30.0,3.4339872044851463,15
6.0,10.0,24.0,10.0,4.0,False,True,False,False,False,False,False,False,False,50.0,3.9318256327243257,15
6.0,10.0,20.0,10.0,5.0,False,False,False,False,False,False,True,False,False,15.0,2.772588722239781,15
9.0,10.0,30.0,10.0,3.0,True,False,False,False,False,False,False,False,False,30.0,3.4339872044851463,15
9.0,10.0,,10.0,3.0,False,False,False,False,False,False,False,True,False,15.0,2.772588722239781,15
5.0,8.0,100.0,6.0,4.0,False,True,False,False,False,False,False,False,False,90.0,4.51085950651685,16
5.0,8.0,100.0,9.0,4.0,False,False,False,False,False,False,False,True,False,20.0,3.044522437723423,16
9.0,2.0,100.0,2.0,9.0,False,True,False,False,False,False,False,False,False,30.0,3.4339872044851463,16
9.0,2.0,100.0,4.0,8.0,False,False,False,False,False,False,False,True,False,4.0,1.6094379124341003,16
6.0,1.0,100.0,10.0,4.0,True,False,False,False,False,False,False,False,False,320.0,5.771441123130016,16
6.0,1.0,,10.0,1.0,False,False,False,False,False,False,False,True,False,200.0,5.303304908059076,16
6.0,8.0,50.0,9.0,3.0,True,False,False,False,False,False,False,False,False,80.0,4.394449154672439,17
6.0,8.0,3.0,9.0,3.0,False,False,False,False,False,False,False,True,False,15.0,2.772588722239781,17
3.0,4.0,90.0,3.0,6.0,False,True,False,False,False,False,False,False,False,4.0,1.6094379124341003,17
3.0,4.0,6.0,4.0,7.0,False,False,False,False,False,False,False,True,False,4.0,1.6094379124341003,17
6.0,7.0,100.0,7.0,3.0,True,False,False,False,False,False,False,False,False,20.0,3.044522437723423,17
6.0,7.0,,9.0,2.0,False,False,False,False,False,False,False,True,False,20.0,3.044522437723423,17
6.0,6.0,25.0,6.0,3.0,False,True,False,False,False,False,False,False,False,18.0,2.9444389791664403,18
6.0,6.0,50.0,8.0,1.0,False,False,False,False,False,False,False,True,False,40.0,3.713572066704308,18
6.0,10.0,50.0,9.0,2.0,False,True,False,False,False,False,False,False,False,22.0,3.1354942159291497,18
6.0,10.0,10.0,5.0,2.0,False,False,False,False,False,False,False,False,True,10.0,2.3978952727983707,18
6.0,5.0,100.0,5.0,3.0,True,False,False,False,False,False,False,False,False,17.0,2.8903717578961645,18
3.0,6.0,25.0,6.0,7.0,False,True,False,False,False,False,False,False,False,25.0,3.258096538021482,19
3.0,6.0,10.0,8.0,7.0,False,False,False,False,False,False,True,False,False,50.0,3.9318256327243257,19
8.0,9.0,50.0,10.0,4.0,True,False,False,False,False,False,False,False,False,160.0,5.081404364984463,19
8.0,9.0,25.0,7.0,5.0,False,True,False,False,False,False,False,False,False,28.0,3.367295829986474,19
1.0,4.0,100.0,4.0,6.0,True,False,False,False,False,False,False,False,False,13.0,2.6390573296152584,19
1.0,4.0,,6.0,4.0,False,False,False,False,False,False,False,True,False,36.0,3.6109179126442243,19
5.0,8.0,100.0,5.0,3.0,False,True,False,False,False,False,False,False,False,6.0,1.9459101490553132,20
5.0,8.0,100.0,5.0,4.0,False,False,False,False,False,False,True,False,False,6.0,1.9459101490553132,20
2.0,1.0,100.0,3.0,10.0,False,False,False,False,False,False,True,False,False,5.0,1.791759469228055,20
2.0,1.0,100.0,2.0,10.0,False,False,False,False,False,False,True,False,False,3.0,1.3862943611198906,20
6.0,8.0,,9.0,7.0,False,False,False,False,False,False,False,True,False,30.0,3.4339872044851463,20
5.0,7.0,22.0,7.0,4.0,False,True,False,False,False,False,False,False,False,45.0,3.828641396489095,21
5.0,7.0,40.0,10.0,3.0,False,False,False,False,False,True,False,False,False,75.0,4.330733340286331,21
9.0,9.0,35.0,9.0,4.0,False,True,False,False,False,False,False,False,False,80.0,4.394449154672439,21
9.0,9.0,35.0,9.0,4.0,False,True,False,False,False,False,False,False,False,70.0,4.2626798770413155,21
5.0,6.0,40.0,6.0,3.0,True,False,False,False,False,False,False,False,False,30.0,3.4339872044851463,21
5.0,6.0,,6.0,3.0,False,False,False,False,False,False,False,True,False,25.0,3.258096538021482,21
9.0,7.0,41.7,7.0,2.0,False,True,False,False,False,False,False,False,False,60.0,4.110873864173311,22
9.0,7.0,8.3,3.0,3.0,False,False,False,True,False,False,False,False,False,10.0,2.3978952727983707,22
5.0,4.0,44.0,5.0,2.0,False,True,False,False,False,False,False,False,False,10.0,2.3978952727983707,22
5.0,4.0,1.0,1.0,1.0,False,False,False,False,False,False,False,False,True,2.0,1.0986122886681098,22
5.0,8.0,18.0,7.0,3.0,False,True,False,False,False,False,False,False,False,70.0,4.2626798770413155,23
5.0,8.0,18.0,9.0,5.0,True,False,False,False,False,False,False,False,False,120.0,4.795790545596741,23
5.0,6.0,3.0,6.0,3.0,False,False,True,False,False,False,False,False,False,15.0,2.772588722239781,23
5.0,6.0,33.0,7.0,4.0,True,False,False,False,False,False,False,False,False,50.0,3.9318256327243257,23
5.0,5.0,70.0,5.0,2.0,True,False,False,False,False,False,False,False,False,20.0,3.044522437723423,23
5.0,5.0,,5.0,6.0,False,False,False,False,False,False,False,True,False,12.0,2.5649493574615367,23
2.0,5.0,50.0,5.0,2.0,False,True,False,False,False,False,False,False,False,15.0,2.772588722239781,24
2.0,5.0,50.0,3.0,1.0,False,False,False,False,False,False,True,False,False,10.0,2.3978952727983707,24
10.0,9.0,30.0,8.0,2.0,False,False,False,False,False,True,False,False,False,35.0,3.58351893845611,24
10.0,9.0,60.0,9.0,4.0,True,False,False,False,False,False,False,False,False,45.0,3.828641396489095,24
3.0,6.0,100.0,6.0,4.0,True,False,False,False,False,False,False,False,False,8.0,2.1972245773362196,24
3.0,6.0,,7.0,4.0,False,False,False,False,False,False,False,True,False,5.0,1.791759469228055,24
